'-skip-logged'	'Download -skip-logged failed: '
'FileFields'	'Get package args failed: ImportError: No module named turbogears.finddata'
'FileHStore'	'OK!'
'Filesystematic'	'Download Filesystematic failed: None'
'FilmUpPy'	'Download FilmUpPy failed: None'
'FireSnake Browser'	'Invalid name: None'
'Firedrop2'	'Download Firedrop2 failed: None'
'Flannel'	'OK!'
'Flatten'	'Download Flatten failed: None'
'Flickr.API'	'OK!'
'Flight'	'Unpack Flight failed: Unsupported archive type'
'FmtRW'	'Download FmtRW failed: None'
'FontTools'	'Download FontTools failed: None'
'FontTools-TTX'	'Download FontTools-TTX failed: None'
'Forest Board'	'Invalid name: None'
'FormAlchemy'	'OK!'
'FormBuild'	'OK!'
'FormEncode'	'OK!'
'Forthon'	'Download Forthon failed: '
'Fossil'	'OK!'
'Fozzy'	'Get package args failed: ImportError: No module named turbogears.finddata'
'Frase do Dia'	'Invalid name: None'
'FreeSpeak'	'Unpack FreeSpeak failed: Unsupported archive type'
'Freetype'	'Download Freetype failed: None'
'Frog-blog'	'Download Frog-blog failed: None'
'Frupple'	'OK!'
'FsavClient'	'OK!'
'FuGrep'	'OK!'
'FuXi'	'Download FuXi failed: MD5 validation failed for FuXi-0.95b.dev-r229.tar.gz; possible download problem?'
'FurcTools'	'Download FurcTools failed: None'
'GDAL'	'OK!'
'GFX'	'OK!'
'GHRML'	'OK!'
'GNOMEUtils'	'Download GNOMEUtils failed: None'
'GNota'	'Download GNota failed: None'
'GPicSync'	'Download GPicSync failed: None'
'GTKUtils'	'Download GTKUtils failed: None'
'GUI'	'Download GUI failed: None'
'Gajim'	'Unpack Gajim failed: Unsupported archive type'
'GallerPy'	'Unpack GallerPy failed: Unsupported archive type'
'Gallerize'	'Get package args failed: ImportError: No module named Image'
'Gallery2.py'	'Download Gallery2.py failed: None'
'GalleryRemote'	'OK!'
'GanttPV'	'Download GanttPV failed: None'
'GenericCache'	'Unpack GenericCache failed: Unsupported archive type'
'GenomeDiagram'	'Download GenomeDiagram failed: None'
'Genshi'	'OK!'
'GeoEco'	'Download GeoEco failed: None'
'GeoTypes'	'OK!'
'Geohash'	'OK!'
'Gibberisch'	'OK!'
'GinGin'	'Get package args failed: '
'GitPython'	'OK!'
'Glarf'	'Download Glarf failed: None'
'Glashammer'	'Get package args failed: ImportError: No module named werkzeug'
'Gnosis Utilities'	'Invalid name: None'
'Gnosis-Utils'	'OK!'
'GnuPGInterface'	'Download GnuPGInterface failed: None'
'GooeyPy'	'Get package args failed: ImportError: No module named pygame'
'GoogleCalendar'	'OK!'
'GraphPath'	'Download GraphPath failed: None'
'GrassyKnoll'	'OK!'
'Grok-By-Example'	'Download Grok-By-Example failed: None'
